#devopsagainsthumanity,http://devopsagainsthumanity.com
White Cards (noun or gerund - single word or phrase),Black Cards (direct question or fill-in-the-blank statement with one blank or two) (5 underscores = blank)
DNS,_____ as a service.
DNS,_____ dooms any project to epic failure.
DNS,"_____ is a feature, not a bug."
DNS,Smashing the _____ for fun and profit
DNS,_____ is weaponized privilege.
DNS,_____ is webscale.
DNS,_____ logs or it didn't happen.
DNS,_____ with one weird trick.
DNS,"_____, as one does."
DNS,"_____, for some values of _____."
DNS,Ask Me Anything about _____.
DNS,Called on account of _____.
DNS,Disrupting the established players in _____ via _____.
DNS,Doge _____.
DNS,Employees must _____ before returning to work.
DNS,Enterprise _____ in the cloud.
DNS,Enterprise-ready _____.
DNS,Epic yak-shave caused by _____.
DNS,Facebook has acquired _____ for $10b and _____.
DNS,Free as in _____.
DNS,Glitter-bombed with _____.
DNS,"Hi, I'm Troy McClure. You may remember me from such commit messages as _____ and _____."
DNS,How even is _____ formed?
DNS,I can haz _____.
DNS,Tinder for _____
DNS,"If _____ is the answer, you are asking the wrong question."
DNS,____ does not type check.
DNS,"If you're using _____, you're gonna have a bad time."
DNS,Nobody ever got fired for  _____.
DNS,Running Windows in production leads to _____.
DNS,The Internet is for cat memes and _____.
DNS,"""Our release schedule doesn't have time for _____."""
DNS,The Internet of Things will be controlled by _____.
DNS,The only thing necessary for evil to triumph is _____.
DNS,Uber is on surge pricing because of _____.
DNS,WARN: _____ has been deprecated.
DNS,Will merge pull requests for _____.
DNS,Zero-day _____.
DNS,Time to schedule the postmortem for _____. .
DNS,It worked on my _____.
DNS,"_____, the only thing worse than recruiting spam."
DNS,tbu
DNS,Put some ______ on it 
DNS,Wrap it with the _____ duct tape
DNS,But Google is using _____ so we should too!
DNS,_____ is the new _____.
DNS,Etsy says we should _____ everything.
DNS,xkcd.com just made a hilarious comic making fun of _____.
DNS,This isn't going to be all unicorns and _____.
DNS,Apple just patented _____.
DNS,When I was a kid we didn't have _____.
DNS,"_____ is a nice idea, lets found a start-up."
DNS,_____ is for closers.
DNS,
DNS,DevOps: Now with 100% more _____!
DNS,Main benefits of automation: _____ and _____.
DNS,Chef convergence failed due to _____.
DNS,...and then there was the time I found _____ on the root partition.
DNS,We run production on _____ and _____.
DNS,Management said it's OK to deploy _____ at 5pm on Friday 
DNS,Did you know that we have _____ on pager rotation?
DNS,"""There was no good solution for _____, so we built our own."""
DNS,Amazon built a datacenter on the moon to lessen the risk of _____ causing problems.
DNS,"In order to improve security, we're upgrading to _____."
DNS,The two pillars of our Continuous Deployment pipeline are _____ and _____.
DNS,I got paged at 3am because of _____.
DNS,The most stable part of our infrastructure? _____
DNS,"When I told Jez Humble about our _____, he actually cried."
DNS,"When I write a book about my experiences, it'll be called ""_____, the good parts"""
DNS,Restoring from backups failed due to _____.
DNS,My two most indispensable tools are _____ and _____.
DNS,The production datacenter burned down because of _____.
DNS,"It turns out that the button labeled ""Don't Push"" actually does _____."
DNS,You should think of your servers like _____ and not like _____.
DNS,I find Java to be way too _____.
DNS,It's like trying to herd _____.
DNS,I ended up having to buy a replacement _____ on eBay.
DNS,_____ is more memory than anyone will ever need on a computer.
DNS,_____ Driven Development.
DNS,The RIAA is suing me for downloading _____.
DNS,Security? We've got that! We use _____.
DNS,sudo pip install _____
DNS,"When I hooked the 3D printer up to the Internet, it accidentally created _____."
DNS,My next blog post will be about how we used _____ to create _____.
DNS,"So, I was using Wireshark to check network traffic... Did you know we have _____ in production?"
DNS,My eyes started bleeding when I opened the editor and saw _____.
DNS,I think maybe I'll leave _____ off my resumé.
DNS,We don't need _____ - we have _____ !
DNS,Management just told me I need to get certified in _____.
DNS,"Our app is like _____, but for _____."
DNS,"Marketing says we're leaders in the _____ space, but I think it's more accurate to say we specialize in _____."
DNS,Our greatest achievement in the last year is _____.
DNS,I write my code in vim because of _____
DNS,"If we make this deadline, Management has promised us _____."
DNS,Sweet! I just found a Puppet module for _____!
DNS,"Last week, I created a Chef recipe for _____; this week, it's an entire cookbook for _____, Automation FTW!"
DNS,We really need to open-source our _____.
DNS,A sales rep just tried to pitch me on _____; I told them we already have _____.
DNS,Who would have known that _____ could destroy an entire datacenter?
DNS,sudo apt-get install _____
DNS,Our production backups are stored using _____.
DNS,We replaced our _____ with _____
DNS,"After _____ came up, the retrospective really went downhill."
DNS,"You know what our app needs? More _____, less _____."
DNS,It figures - an article about our _____ was posted just as we're pivoting to _____.
DNS,"In the next planning session, we'll cover _____ and _____."
DNS,Our competitive advantage is our _____.
DNS,"Every time someone brings up _____, I throw up a little in my mouth."
DNS,Continuous _____.
DNS,All that we had to do to halve our response times was implement _____
DNS,Our entire app is geared towards providing _____.
DNS,_____-ility
DNS,We just achieved _____s per second!
DNS,You now have a scroll titled '________' (f)
DNS,_____ is that even HA?
DNS,My Linkedin Endorsements include _____.
DNS,Users are _____.
DNS,Robots are going to make _____ obsolete.
DNS,Accidental _____.
DNS,An error occurred: E_____
DNS,"According to the logs, _____ was initially caused by _____."
DNS,We can just fix that with a little ______.
DNS,"You can have _____, _____, or _____.  Pick two."
DNS,"A monad is just a _____ in the category of _____, what's the problem?"
DNS,"Functional programming - if you can't _____ it, _____ it."
DNS,"On a scale from 1 to 10, this is _____!"
DNS,"We don't need configuration management, we have _____!"
DNS,"_____, now with _____ support."
DNS,RedHat has announced that RHEL 8 will ship with _____.
DNS,"""Hey, _____ is down. Can you fix it?"""
DNS,I grabbed _____ on my way out the door after our paychecks bounced and management stopped answering their phones.
DNS,Did you try _____ yet?
DNS,I was 6 beers in when I got the pager alert that _____was down.
DNS,Notice: Building _____ for _____
DNS,I laughed when they said I'd be on call 24/7 but wouldn't receive a stipend for _____.
DNS,If it weren't for _____ we'd all be _____.
DNS,"_____, _____ and just a few lines of Perl."
DNS,NoSQL is superior to SQL because _____
DNS,Script kiddies got into _____ because _____.
DNS,_____ is better than Hadoop because _____
DNS,Disturbing ____ leaves ____ fucked
DNS,Rub a little _____ on it
DNS,"WAIT, YOU DELETED _____??!"
DNS,@_____borat
DNS,"It's not web scale, it's _____"
DNS,The tech support hotline told me to _____
DNS,Asynchronous REST API calls are the solution to _____
DNS,Say concurrent threads again and I will _____ you.
DNS,"""Guys, seriously, if we just use _____ it will solve all our problems with _____!"""
DNS,Facebook changed their profiles today because _____.
DNS,github.com/_____/_____
DNS,Hello. My name is _____ and I am addicted to _____ .
DNS,_____ dependency hell.
DNS,"That talk outline said it would be about _____, but it ended up being more like _____."
DNS,I will replace you with a very small ______.
DNS,Jordan Sissel hates ______ so much that he created a new opensource project called _____ to work around it.
DNS,_____ isn't a job title
DNS,For the next project we are going to use _____ to solve _____ .
