White Cards (noun or gerund - single word or phrase),Black Cards (direct question or fill-in-the-blank statement with one blank or two)
/var/log symlinked to /dev/null,...and then there was the time I found _____ on the root partition.
"10,000 Nagios alerts per second",140 characters is just enough to explain _____.
3-hour standups,_____ - the idiot's guide to _____ and _____.
A 2400 baud modem,_____ all the way down.
"A 3.5"" floppy disk",_____ as a service.
A 500-megabyte UDP packet,_____ dooms any project to epic failure.
A 75-tier architecture,_____ Driven Development.
A Cisco router with a flaky chip,"_____ is a feature, not a bug."
A CORBA service written in Ada which communicates using JSONx,_____ is for closers.
A cron job that reboots the server every 5 minutes,_____ is the new _____.
A custom kernel with Frontpage Extensions installed,_____ is weaponized privilege.
A customized .fvwmrc,_____ is webscale.
A former MENSA member,_____ or it didn't happen.
A Github Outage,_____ with one weird trick.
A global write lock,"_____, as one does."
A home-rolled systemd replacement,"_____, for some values of _____."
A JAR full of spaghetti,"_____, is that even HA?"
A mobile web 2.0 RIA,"_____, the only thing worse than recruiting spam."
A Null-modem cable,A sales rep just tried to pitch me on _____; I told them we already have _____.
A Piñata full of error messages,Accidental _____.
A proof that P=NP written in BASIC,"After _____ came up, the retrospective really went downhill."
A Scrum Master,All that we had to do to halve our response times was implement _____.
A self-aware PHP script,Amazon built a datacenter on the moon to lessen the risk of _____ causing problems.
A shared root password,Apple just patented _____.
A Snowflake server,Ask Me Anything about _____.
A squirrel with a taste for fiber,But Google is using _____ so we should too!
A turducken made entirely of bash scripts,Called on account of _____.
A Volker-Craig terminal,Chef convergence failed due to _____.
A WSDL from 2003,Continuous _____.
Agony-Driven Development,DevOps: Now with 100% more _____!
An angry badger with an electromagnet on its back,Did you know that we have _____ on pager rotation?
"An army of chaos monkeys, all carrying flamethrowers",Disrupting the established players in _____ via _____.
An epic caffeine bender,Doge _____.
An Exchange email loop,Employees must _____ before returning to work.
An untested restore process,Enterprise _____ in the cloud.
Apache 1.2 running as root,Enterprise-ready _____.
